

























Thinking np: N 4 - 4 examples
Removed micro-clusters: 41 label: 1 category: normal
Removed micro-clusters: 41 label: 1 category: normal
Removed micro-clusters: 41 label: 1 category: normal
Removed micro-clusters: 41 label: 1 category: normal
Removed micro-clusters: 44 label: 1 category: normal
Removed micro-clusters: 45 label: 1 category: normal
Removed micro-clusters: 46 label: 1 category: normal
Removed micro-clusters: 48 label: 1 category: normal
Removed micro-clusters: 48 label: 1 category: normal
Removed micro-clusters: 49 label: 1 category: normal
Removed micro-clusters: 50 label: 1 category: normal
Removed micro-clusters: 50 label: 1 category: normal
Removed micro-clusters: 50 label: 1 category: normal
Removed micro-clusters: 52 label: 1 category: normal
Removed micro-clusters: 52 label: 1 category: normal
Removed micro-clusters: 52 label: 1 category: normal
Removed micro-clusters: 56 label: 1 category: normal
Removed micro-clusters: 59 label: 1 category: normal
Removed micro-clusters: 66 label: 1 category: normal
Removed micro-clusters: 67 label: 1 category: normal
Removed micro-clusters: 69 label: 1 category: normal
Removed micro-clusters: 69 label: 1 category: normal
Removed micro-clusters: 69 label: 1 category: normal
Removed micro-clusters: 70 label: 1 category: normal
Removed micro-clusters: 70 label: 1 category: normal
Removed micro-clusters: 71 label: 1 category: normal
Removed micro-clusters: 71 label: 1 category: normal
Removed micro-clusters: 72 label: 1 category: normal
Removed micro-clusters: 81 label: 1 category: normal
Removed micro-clusters: 82 label: 1 category: normal
Removed micro-clusters: 82 label: 1 category: normal
Removed micro-clusters: 83 label: 1 category: normal
Removed micro-clusters: 83 label: 1 category: normal
Removed micro-clusters: 85 label: 1 category: normal
Removed micro-clusters: 85 label: 1 category: normal
Removed micro-clusters: 86 label: 1 category: normal
Removed micro-clusters: 86 label: 1 category: normal
Removed micro-clusters: 86 label: 1 category: normal
Removed micro-clusters: 86 label: 1 category: normal
Removed micro-clusters: 87 label: 1 category: normal
Removed micro-clusters: 90 label: 1 category: normal
Removed micro-clusters: 97 label: 1 category: normal
Removed micro-clusters: 98 label: 1 category: normal
Removed micro-clusters: 98 label: 1 category: normal
Removed micro-clusters: 99 label: 1 category: normal
Removed micro-clusters: 103 label: 1 category: normal
Removed micro-clusters: 104 label: 1 category: normal
Removed micro-clusters: 106 label: 1 category: normal
Removed micro-clusters: 109 label: 1 category: normal
Removed micro-clusters: 113 label: 1 category: normal
Removed micro-clusters: 116 label: 1 category: normal
Removed micro-clusters: 120 label: 1 category: normal
Removed micro-clusters: 120 label: 1 category: normal
Removed micro-clusters: 126 label: 1 category: normal
Removed micro-clusters: 126 label: 1 category: normal
Removed micro-clusters: 127 label: 1 category: normal
Removed micro-clusters: 128 label: 1 category: normal
Removed micro-clusters: 128 label: 1 category: normal
Removed micro-clusters: 128 label: 1 category: normal
Removed micro-clusters: 130 label: 1 category: normal
Removed micro-clusters: 136 label: 1 category: normal
Removed micro-clusters: 136 label: 1 category: normal
Removed micro-clusters: 142 label: 1 category: normal
Removed micro-clusters: 142 label: 1 category: normal
Removed micro-clusters: 146 label: 1 category: normal
Removed micro-clusters: 147 label: 1 category: normal
Removed micro-clusters: 148 label: 1 category: normal
Removed micro-clusters: 148 label: 1 category: normal
Removed micro-clusters: 148 label: 1 category: normal
Removed micro-clusters: 150 label: 1 category: normal
Removed micro-clusters: 152 label: 1 category: normal
Timestamp: 500 - removed micro-clusters: 138 - model's size [1]:153
Removed micro-clusters: 4 label: 2 category: normal
Removed micro-clusters: 4 label: 2 category: normal
Removed micro-clusters: 10 label: 2 category: normal
Removed micro-clusters: 10 label: 2 category: normal
Removed micro-clusters: 14 label: 2 category: normal
Removed micro-clusters: 17 label: 2 category: normal
Removed micro-clusters: 20 label: 2 category: normal
Removed micro-clusters: 22 label: 2 category: normal
Removed micro-clusters: 23 label: 2 category: normal
Removed micro-clusters: 23 label: 2 category: normal
Removed micro-clusters: 23 label: 2 category: normal
Removed micro-clusters: 25 label: 2 category: normal
Removed micro-clusters: 27 label: 2 category: normal
Removed micro-clusters: 27 label: 2 category: normal
Removed micro-clusters: 29 label: 2 category: normal
Removed micro-clusters: 29 label: 2 category: normal
Removed micro-clusters: 30 label: 2 category: normal
Removed micro-clusters: 30 label: 2 category: normal
Removed micro-clusters: 30 label: 2 category: normal
Removed micro-clusters: 34 label: 2 category: normal
Removed micro-clusters: 35 label: 2 category: normal
Removed micro-clusters: 35 label: 2 category: normal
Removed micro-clusters: 38 label: 2 category: normal
Removed micro-clusters: 42 label: 2 category: normal
Removed micro-clusters: 47 label: 2 category: normal
Removed micro-clusters: 47 label: 2 category: normal
Removed micro-clusters: 47 label: 2 category: normal
Removed micro-clusters: 47 label: 2 category: normal
Removed micro-clusters: 51 label: 2 category: normal
Removed micro-clusters: 51 label: 2 category: normal
Removed micro-clusters: 52 label: 2 category: normal
Removed micro-clusters: 53 label: 2 category: normal
Removed micro-clusters: 60 label: 2 category: normal
Removed micro-clusters: 60 label: 2 category: normal
Removed micro-clusters: 61 label: 2 category: normal
Removed micro-clusters: 61 label: 2 category: normal
Removed micro-clusters: 65 label: 2 category: normal
Removed micro-clusters: 69 label: 2 category: normal
Removed micro-clusters: 69 label: 2 category: normal
Removed micro-clusters: 69 label: 2 category: normal
Removed micro-clusters: 69 label: 2 category: normal
Removed micro-clusters: 70 label: 2 category: normal
Removed micro-clusters: 70 label: 2 category: normal
Removed micro-clusters: 71 label: 2 category: normal
Removed micro-clusters: 72 label: 2 category: normal
Removed micro-clusters: 72 label: 2 category: normal
Removed micro-clusters: 72 label: 2 category: normal
Removed micro-clusters: 72 label: 2 category: normal
Removed micro-clusters: 73 label: 2 category: normal
Removed micro-clusters: 73 label: 2 category: normal
Removed micro-clusters: 73 label: 2 category: normal
Removed micro-clusters: 73 label: 2 category: normal
Removed micro-clusters: 73 label: 2 category: normal
Removed micro-clusters: 74 label: 2 category: normal
Removed micro-clusters: 74 label: 2 category: normal
Removed micro-clusters: 75 label: 2 category: normal
Removed micro-clusters: 75 label: 2 category: normal
Removed micro-clusters: 75 label: 2 category: normal
Removed micro-clusters: 75 label: 2 category: normal
Removed micro-clusters: 80 label: 2 category: normal
Removed micro-clusters: 81 label: 2 category: normal
Removed micro-clusters: 83 label: 2 category: normal
Removed micro-clusters: 90 label: 2 category: normal
Timestamp: 500 - removed micro-clusters: 201 - model's size [2]:91
Removed micro-clusters: 3 label: 3 category: normal
Removed micro-clusters: 3 label: 3 category: normal
Removed micro-clusters: 11 label: 3 category: normal
Removed micro-clusters: 13 label: 3 category: normal
Removed micro-clusters: 14 label: 3 category: normal
Removed micro-clusters: 15 label: 3 category: normal
Removed micro-clusters: 16 label: 3 category: normal
Removed micro-clusters: 20 label: 3 category: normal
Removed micro-clusters: 22 label: 3 category: normal
Removed micro-clusters: 24 label: 3 category: normal
Removed micro-clusters: 24 label: 3 category: normal
Removed micro-clusters: 25 label: 3 category: normal
Removed micro-clusters: 25 label: 3 category: normal
Removed micro-clusters: 27 label: 3 category: normal
Removed micro-clusters: 27 label: 3 category: normal
Removed micro-clusters: 28 label: 3 category: normal
Removed micro-clusters: 35 label: 3 category: normal
Removed micro-clusters: 36 label: 3 category: normal
Removed micro-clusters: 36 label: 3 category: normal
Removed micro-clusters: 36 label: 3 category: normal
Removed micro-clusters: 36 label: 3 category: normal
Removed micro-clusters: 39 label: 3 category: normal
Removed micro-clusters: 40 label: 3 category: normal
Removed micro-clusters: 41 label: 3 category: normal
Removed micro-clusters: 42 label: 3 category: normal
Removed micro-clusters: 46 label: 3 category: normal
Removed micro-clusters: 47 label: 3 category: normal
Removed micro-clusters: 47 label: 3 category: normal
Removed micro-clusters: 49 label: 3 category: normal
Removed micro-clusters: 52 label: 3 category: normal
Removed micro-clusters: 52 label: 3 category: normal
Removed micro-clusters: 54 label: 3 category: normal
Removed micro-clusters: 54 label: 3 category: normal
Removed micro-clusters: 55 label: 3 category: normal
Removed micro-clusters: 55 label: 3 category: normal
Removed micro-clusters: 55 label: 3 category: normal
Removed micro-clusters: 59 label: 3 category: normal
Removed micro-clusters: 60 label: 3 category: normal
Removed micro-clusters: 60 label: 3 category: normal
Removed micro-clusters: 60 label: 3 category: normal
Removed micro-clusters: 60 label: 3 category: normal
Removed micro-clusters: 62 label: 3 category: normal
Removed micro-clusters: 63 label: 3 category: normal
Removed micro-clusters: 63 label: 3 category: normal
Removed micro-clusters: 63 label: 3 category: normal
Removed micro-clusters: 64 label: 3 category: normal
Removed micro-clusters: 65 label: 3 category: normal
Removed micro-clusters: 73 label: 3 category: normal
Removed micro-clusters: 78 label: 3 category: normal
Removed micro-clusters: 80 label: 3 category: normal
Removed micro-clusters: 90 label: 3 category: normal
Removed micro-clusters: 90 label: 3 category: normal
Removed micro-clusters: 92 label: 3 category: normal
Removed micro-clusters: 98 label: 3 category: normal
Removed micro-clusters: 101 label: 3 category: normal
Removed micro-clusters: 101 label: 3 category: normal
Removed micro-clusters: 106 label: 3 category: normal
Removed micro-clusters: 111 label: 3 category: normal
Removed micro-clusters: 114 label: 3 category: normal
Removed micro-clusters: 120 label: 3 category: normal
Removed micro-clusters: 121 label: 3 category: normal
Removed micro-clusters: 122 label: 3 category: normal
Removed micro-clusters: 123 label: 3 category: normal
Removed micro-clusters: 124 label: 3 category: normal
Removed micro-clusters: 127 label: 3 category: normal
Removed micro-clusters: 128 label: 3 category: normal
Removed micro-clusters: 132 label: 3 category: normal
Removed micro-clusters: 132 label: 3 category: normal
Removed micro-clusters: 133 label: 3 category: normal
Removed micro-clusters: 139 label: 3 category: normal
Removed micro-clusters: 140 label: 3 category: normal
Removed micro-clusters: 145 label: 3 category: normal
Removed micro-clusters: 145 label: 3 category: normal
Removed micro-clusters: 148 label: 3 category: normal
Removed micro-clusters: 148 label: 3 category: normal
Removed micro-clusters: 152 label: 3 category: normal
Removed micro-clusters: 152 label: 3 category: normal
Removed micro-clusters: 152 label: 3 category: normal
Removed micro-clusters: 153 label: 3 category: normal
Removed micro-clusters: 156 label: 3 category: normal
Removed micro-clusters: 156 label: 3 category: normal
Removed micro-clusters: 159 label: 3 category: normal
Timestamp: 500 - removed micro-clusters: 283 - model's size [3]:161
Removed micro-clusters: 3 label: 4 category: normal
Removed micro-clusters: 7 label: 4 category: normal
Removed micro-clusters: 9 label: 4 category: normal
Removed micro-clusters: 9 label: 4 category: normal
Removed micro-clusters: 10 label: 4 category: normal
Removed micro-clusters: 10 label: 4 category: normal
Removed micro-clusters: 11 label: 4 category: normal
Removed micro-clusters: 13 label: 4 category: normal
Removed micro-clusters: 13 label: 4 category: normal
Removed micro-clusters: 13 label: 4 category: normal
Removed micro-clusters: 16 label: 4 category: normal
Removed micro-clusters: 16 label: 4 category: normal
Removed micro-clusters: 17 label: 4 category: normal
Removed micro-clusters: 17 label: 4 category: normal
Removed micro-clusters: 17 label: 4 category: normal
Removed micro-clusters: 18 label: 4 category: normal
Removed micro-clusters: 18 label: 4 category: normal
Removed micro-clusters: 19 label: 4 category: normal
Removed micro-clusters: 19 label: 4 category: normal
Removed micro-clusters: 19 label: 4 category: normal
Removed micro-clusters: 25 label: 4 category: normal
Removed micro-clusters: 27 label: 4 category: normal
Removed micro-clusters: 29 label: 4 category: normal
Removed micro-clusters: 33 label: 4 category: normal
Removed micro-clusters: 35 label: 4 category: normal
Removed micro-clusters: 36 label: 4 category: normal
Removed micro-clusters: 36 label: 4 category: normal
Removed micro-clusters: 36 label: 4 category: normal
Removed micro-clusters: 41 label: 4 category: normal
Removed micro-clusters: 41 label: 4 category: normal
Removed micro-clusters: 41 label: 4 category: normal
Removed micro-clusters: 45 label: 4 category: normal
Removed micro-clusters: 45 label: 4 category: normal
Removed micro-clusters: 48 label: 4 category: normal
Removed micro-clusters: 48 label: 4 category: normal
Removed micro-clusters: 52 label: 4 category: normal
Removed micro-clusters: 59 label: 4 category: normal
Removed micro-clusters: 60 label: 4 category: normal
Removed micro-clusters: 65 label: 4 category: normal
Removed micro-clusters: 73 label: 4 category: normal
Removed micro-clusters: 73 label: 4 category: normal
Removed micro-clusters: 73 label: 4 category: normal
Removed micro-clusters: 93 label: 4 category: normal
Removed micro-clusters: 93 label: 4 category: normal
Removed micro-clusters: 94 label: 4 category: normal
Removed micro-clusters: 100 label: 4 category: normal
Removed micro-clusters: 102 label: 4 category: normal
Removed micro-clusters: 103 label: 4 category: normal
Removed micro-clusters: 104 label: 4 category: normal
Removed micro-clusters: 107 label: 4 category: normal
Removed micro-clusters: 114 label: 4 category: normal
Removed micro-clusters: 116 label: 4 category: normal
Removed micro-clusters: 116 label: 4 category: normal
Removed micro-clusters: 118 label: 4 category: normal
Removed micro-clusters: 120 label: 4 category: normal
Removed micro-clusters: 121 label: 4 category: normal
Removed micro-clusters: 121 label: 4 category: normal
Removed micro-clusters: 121 label: 4 category: normal
Removed micro-clusters: 124 label: 4 category: normal
Removed micro-clusters: 125 label: 4 category: normal
Removed micro-clusters: 125 label: 4 category: normal
Removed micro-clusters: 127 label: 4 category: normal
Removed micro-clusters: 131 label: 4 category: normal
Removed micro-clusters: 131 label: 4 category: normal
Removed micro-clusters: 137 label: 4 category: normal
Removed micro-clusters: 137 label: 4 category: normal
Removed micro-clusters: 138 label: 4 category: normal
Removed micro-clusters: 140 label: 4 category: normal
Removed micro-clusters: 141 label: 4 category: normal
Removed micro-clusters: 141 label: 4 category: normal
Removed micro-clusters: 141 label: 4 category: normal
Removed micro-clusters: 144 label: 4 category: normal
Removed micro-clusters: 145 label: 4 category: normal
Removed micro-clusters: 145 label: 4 category: normal
Removed micro-clusters: 145 label: 4 category: normal
Removed micro-clusters: 147 label: 4 category: normal
Removed micro-clusters: 147 label: 4 category: normal
Removed micro-clusters: 148 label: 4 category: normal
Removed micro-clusters: 148 label: 4 category: normal
Removed micro-clusters: 151 label: 4 category: normal
Timestamp: 500 - removed micro-clusters: 363 - model's size [4]:151
Timestamp: 500 - removed micro-clusters: 363 - model's size [NP1]:1






















Thinking np: N NP1 - 4 examples


Thinking np: N NP1 - 4 examples
Thinking np: N NP1 - 4 examples




Thinking np: N NP1 - 4 examples











Thinking np: N NP1 - 4 examples





Thinking np: N NP1 - 4 examples


Thinking np: N NP8 - 4 examples




Thinking np: N NP8 - 4 examples








Thinking np: N NP8 - 5 examples


Thinking np: N NP8 - 4 examples
Thinking np: N NP8 - 4 examples


Thinking np: N NP8 - 4 examples
Thinking np: N NP8 - 4 examples
Thinking np: N NP8 - 4 examples
Thinking np: N NP8 - 4 examples
Thinking np: N NP8 - 4 examples


Removed examples from short-time-memory: 124	 True labels: [0]
Removed examples from short-time-memory: 152	 True labels: [0]
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP13]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP14]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP15]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP16]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP10]:2
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP11]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP12]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP17]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP18]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP19]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP24]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP20]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP21]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP22]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP23]:1
Timestamp: 1000 - removed micro-clusters: 0 - model's size [NP1]:1
Removed micro-clusters: 0 label: 0 category: normal
Removed micro-clusters: 6 label: 0 category: normal
Removed micro-clusters: 6 label: 0 category: normal
Removed micro-clusters: 6 label: 0 category: normal
Removed micro-clusters: 12 label: 0 category: normal
Removed micro-clusters: 15 label: 0 category: normal
Removed micro-clusters: 16 label: 0 category: normal
Removed micro-clusters: 21 label: 0 category: normal
Removed micro-clusters: 22 label: 0 category: normal
Removed micro-clusters: 26 label: 0 category: normal
Removed micro-clusters: 27 label: 0 category: normal
Removed micro-clusters: 27 label: 0 category: normal
Removed micro-clusters: 27 label: 0 category: normal
Removed micro-clusters: 28 label: 0 category: normal
Removed micro-clusters: 28 label: 0 category: normal
Removed micro-clusters: 37 label: 0 category: normal
Removed micro-clusters: 47 label: 0 category: normal
Removed micro-clusters: 48 label: 0 category: normal
Removed micro-clusters: 51 label: 0 category: normal
Removed micro-clusters: 51 label: 0 category: normal
Removed micro-clusters: 57 label: 0 category: normal
Timestamp: 1000 - removed micro-clusters: 21 - model's size [0]:57
Timestamp: 1000 - removed micro-clusters: 21 - model's size [NP3]:1
Removed micro-clusters: 6 label: 1 category: normal
Removed micro-clusters: 9 label: 1 category: normal
Removed micro-clusters: 13 label: 1 category: normal
Removed micro-clusters: 13 label: 1 category: normal
Removed micro-clusters: 16 label: 1 category: normal
Removed micro-clusters: 17 label: 1 category: normal
Removed micro-clusters: 17 label: 1 category: normal
Removed micro-clusters: 31 label: 1 category: normal
Removed micro-clusters: 34 label: 1 category: normal
Removed micro-clusters: 34 label: 1 category: normal
Removed micro-clusters: 37 label: 1 category: normal
Removed micro-clusters: 50 label: 1 category: normal
Removed micro-clusters: 51 label: 1 category: normal
Removed micro-clusters: 52 label: 1 category: normal
Removed micro-clusters: 55 label: 1 category: normal
Removed micro-clusters: 55 label: 1 category: normal
Removed micro-clusters: 55 label: 1 category: normal
Removed micro-clusters: 56 label: 1 category: normal
Removed micro-clusters: 56 label: 1 category: normal
Removed micro-clusters: 56 label: 1 category: normal
Removed micro-clusters: 57 label: 1 category: normal
Removed micro-clusters: 57 label: 1 category: normal
Removed micro-clusters: 57 label: 1 category: normal
Removed micro-clusters: 57 label: 1 category: normal
Removed micro-clusters: 60 label: 1 category: normal
Removed micro-clusters: 60 label: 1 category: normal
Removed micro-clusters: 60 label: 1 category: normal
Removed micro-clusters: 60 label: 1 category: normal
Removed micro-clusters: 62 label: 1 category: normal
Removed micro-clusters: 66 label: 1 category: normal
Removed micro-clusters: 68 label: 1 category: normal
Removed micro-clusters: 70 label: 1 category: normal
Removed micro-clusters: 70 label: 1 category: normal
Removed micro-clusters: 75 label: 1 category: normal
Removed micro-clusters: 78 label: 1 category: normal
Removed micro-clusters: 78 label: 1 category: normal
Removed micro-clusters: 81 label: 1 category: normal
Removed micro-clusters: 85 label: 1 category: normal
Removed micro-clusters: 85 label: 1 category: normal
Removed micro-clusters: 85 label: 1 category: normal
Removed micro-clusters: 85 label: 1 category: normal
Removed micro-clusters: 88 label: 1 category: normal
Removed micro-clusters: 90 label: 1 category: normal
Removed micro-clusters: 93 label: 1 category: normal
Removed micro-clusters: 95 label: 1 category: normal
Removed micro-clusters: 96 label: 1 category: normal
Removed micro-clusters: 97 label: 1 category: normal
Removed micro-clusters: 97 label: 1 category: normal
Removed micro-clusters: 97 label: 1 category: normal
Removed micro-clusters: 99 label: 1 category: normal
Removed micro-clusters: 99 label: 1 category: normal
Removed micro-clusters: 99 label: 1 category: normal
Timestamp: 1000 - removed micro-clusters: 73 - model's size [1]:101
Timestamp: 1000 - removed micro-clusters: 73 - model's size [NP2]:1
Removed micro-clusters: 7 label: 2 category: normal
Removed micro-clusters: 7 label: 2 category: normal
Removed micro-clusters: 8 label: 2 category: normal
Removed micro-clusters: 9 label: 2 category: normal
Removed micro-clusters: 11 label: 2 category: normal
Removed micro-clusters: 12 label: 2 category: normal
Removed micro-clusters: 18 label: 2 category: normal
Removed micro-clusters: 18 label: 2 category: normal
Removed micro-clusters: 23 label: 2 category: normal
Removed micro-clusters: 25 label: 2 category: normal
Removed micro-clusters: 26 label: 2 category: normal
Removed micro-clusters: 26 label: 2 category: normal
Removed micro-clusters: 35 label: 2 category: normal
Removed micro-clusters: 35 label: 2 category: normal
Removed micro-clusters: 36 label: 2 category: normal
Removed micro-clusters: 36 label: 2 category: normal
Removed micro-clusters: 43 label: 2 category: normal
Removed micro-clusters: 44 label: 2 category: normal
Removed micro-clusters: 46 label: 2 category: normal
Removed micro-clusters: 47 label: 2 category: normal
Removed micro-clusters: 48 label: 2 category: normal
Removed micro-clusters: 49 label: 2 category: normal
Removed micro-clusters: 51 label: 2 category: normal
Removed micro-clusters: 52 label: 2 category: normal
Removed micro-clusters: 55 label: 2 category: normal
Removed micro-clusters: 58 label: 2 category: normal
Removed micro-clusters: 59 label: 2 category: normal
Timestamp: 1000 - removed micro-clusters: 100 - model's size [2]:64
Timestamp: 1000 - removed micro-clusters: 100 - model's size [NP5]:1
Removed micro-clusters: 6 label: 3 category: normal
Removed micro-clusters: 9 label: 3 category: normal
Removed micro-clusters: 12 label: 3 category: normal
Removed micro-clusters: 13 label: 3 category: normal
Removed micro-clusters: 15 label: 3 category: normal
Removed micro-clusters: 16 label: 3 category: normal
Removed micro-clusters: 18 label: 3 category: normal
Removed micro-clusters: 22 label: 3 category: normal
Removed micro-clusters: 25 label: 3 category: normal
Removed micro-clusters: 26 label: 3 category: normal
Removed micro-clusters: 28 label: 3 category: normal
Removed micro-clusters: 28 label: 3 category: normal
Removed micro-clusters: 32 label: 3 category: normal
Removed micro-clusters: 32 label: 3 category: normal
Removed micro-clusters: 33 label: 3 category: normal
Removed micro-clusters: 35 label: 3 category: normal
Removed micro-clusters: 36 label: 3 category: normal
Removed micro-clusters: 38 label: 3 category: normal
Removed micro-clusters: 38 label: 3 category: normal
Removed micro-clusters: 44 label: 3 category: normal
Removed micro-clusters: 44 label: 3 category: normal
Removed micro-clusters: 45 label: 3 category: normal
Removed micro-clusters: 48 label: 3 category: normal
Removed micro-clusters: 48 label: 3 category: normal
Removed micro-clusters: 53 label: 3 category: normal
Removed micro-clusters: 58 label: 3 category: normal
Removed micro-clusters: 58 label: 3 category: normal
Removed micro-clusters: 66 label: 3 category: normal
Removed micro-clusters: 68 label: 3 category: normal
Removed micro-clusters: 71 label: 3 category: normal
Removed micro-clusters: 71 label: 3 category: normal
Removed micro-clusters: 71 label: 3 category: normal
Removed micro-clusters: 71 label: 3 category: normal
Removed micro-clusters: 73 label: 3 category: normal
Removed micro-clusters: 73 label: 3 category: normal
Removed micro-clusters: 74 label: 3 category: normal
Removed micro-clusters: 74 label: 3 category: normal
Removed micro-clusters: 74 label: 3 category: normal
Removed micro-clusters: 76 label: 3 category: normal
Removed micro-clusters: 77 label: 3 category: normal
Removed micro-clusters: 79 label: 3 category: normal
Removed micro-clusters: 79 label: 3 category: normal
Removed micro-clusters: 84 label: 3 category: normal
Removed micro-clusters: 84 label: 3 category: normal
Removed micro-clusters: 84 label: 3 category: normal
Removed micro-clusters: 85 label: 3 category: normal
Removed micro-clusters: 85 label: 3 category: normal
Removed micro-clusters: 85 label: 3 category: normal
Removed micro-clusters: 89 label: 3 category: normal
Removed micro-clusters: 92 label: 3 category: normal
Removed micro-clusters: 97 label: 3 category: normal
Removed micro-clusters: 97 label: 3 category: normal
Removed micro-clusters: 99 label: 3 category: normal
Removed micro-clusters: 101 label: 3 category: normal
Removed micro-clusters: 103 label: 3 category: normal
Timestamp: 1000 - removed micro-clusters: 155 - model's size [3]:106
Timestamp: 1000 - removed micro-clusters: 155 - model's size [NP4]:1
Removed micro-clusters: 0 label: 4 category: normal
Removed micro-clusters: 0 label: 4 category: normal
Removed micro-clusters: 1 label: 4 category: normal
Removed micro-clusters: 7 label: 4 category: normal
Removed micro-clusters: 10 label: 4 category: normal
Removed micro-clusters: 10 label: 4 category: normal
Removed micro-clusters: 16 label: 4 category: normal
Removed micro-clusters: 17 label: 4 category: normal
Removed micro-clusters: 17 label: 4 category: normal
Removed micro-clusters: 21 label: 4 category: normal
Removed micro-clusters: 24 label: 4 category: normal
Removed micro-clusters: 29 label: 4 category: normal
Removed micro-clusters: 31 label: 4 category: normal
Removed micro-clusters: 34 label: 4 category: normal
Removed micro-clusters: 40 label: 4 category: normal
Removed micro-clusters: 44 label: 4 category: normal
Removed micro-clusters: 44 label: 4 category: normal
Removed micro-clusters: 44 label: 4 category: normal
Removed micro-clusters: 48 label: 4 category: normal
Removed micro-clusters: 48 label: 4 category: normal
Removed micro-clusters: 49 label: 4 category: normal
Removed micro-clusters: 59 label: 4 category: normal
Removed micro-clusters: 61 label: 4 category: normal
Removed micro-clusters: 65 label: 4 category: normal
Removed micro-clusters: 65 label: 4 category: normal
Removed micro-clusters: 72 label: 4 category: normal
