Timestamp: 2000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 2000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 18	 True labels: [2]
Removed examples from short-time-memory: 1216	 True labels: [3]
Removed examples from short-time-memory: 1228	 True labels: [3]
Removed examples from short-time-memory: 1262	 True labels: [2]
Removed examples from short-time-memory: 1306	 True labels: [1, 2]
Removed examples from short-time-memory: 1319	 True labels: [3]
Removed examples from short-time-memory: 1323	 True labels: [2]
Removed examples from short-time-memory: 1403	 True labels: [4]
Removed examples from short-time-memory: 1503	 True labels: [4]
Removed examples from short-time-memory: 1563	 True labels: [1, 2]
Removed examples from short-time-memory: 1595	 True labels: [2]
Removed examples from short-time-memory: 1665	 True labels: [0, 2]
Removed examples from short-time-memory: 1700	 True labels: [4]
Removed examples from short-time-memory: 1720	 True labels: [4]
Removed examples from short-time-memory: 1740	 True labels: [4]
Removed examples from short-time-memory: 1783	 True labels: [3]
Removed examples from short-time-memory: 1816	 True labels: [2]
Removed examples from short-time-memory: 1872	 True labels: [4]
Removed examples from short-time-memory: 1873	 True labels: [2]
Removed examples from short-time-memory: 1886	 True labels: [2]
Removed examples from short-time-memory: 1916	 True labels: [1, 2]
Timestamp: 4000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 4000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 4000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 4000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 4000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 2092	 True labels: [0]
Removed examples from short-time-memory: 2163	 True labels: [2]
Removed examples from short-time-memory: 2189	 True labels: [0]
Removed examples from short-time-memory: 2343	 True labels: [3]
Removed examples from short-time-memory: 2347	 True labels: [2]
Removed examples from short-time-memory: 2396	 True labels: [4]
Removed examples from short-time-memory: 2397	 True labels: [4]
Removed examples from short-time-memory: 2400	 True labels: [2]
Removed examples from short-time-memory: 2531	 True labels: [2]
Removed examples from short-time-memory: 2579	 True labels: [3]
Removed examples from short-time-memory: 2593	 True labels: [2]
Removed examples from short-time-memory: 2612	 True labels: [1]
Removed examples from short-time-memory: 2693	 True labels: [3]
Removed examples from short-time-memory: 2736	 True labels: [3]
Removed examples from short-time-memory: 2754	 True labels: [3]
Removed examples from short-time-memory: 2758	 True labels: [3]
Removed examples from short-time-memory: 2785	 True labels: [0, 2]
Removed examples from short-time-memory: 2831	 True labels: [3]
Removed examples from short-time-memory: 2879	 True labels: [1, 2]
Removed examples from short-time-memory: 2939	 True labels: [2]
Removed examples from short-time-memory: 2970	 True labels: [2]
Removed examples from short-time-memory: 2998	 True labels: [2]
Removed examples from short-time-memory: 3022	 True labels: [4]
Removed examples from short-time-memory: 3031	 True labels: [4]
Removed examples from short-time-memory: 3072	 True labels: [3]
Removed examples from short-time-memory: 3078	 True labels: [1]
Removed examples from short-time-memory: 3156	 True labels: [4]
Removed examples from short-time-memory: 3250	 True labels: [3]
Removed examples from short-time-memory: 3496	 True labels: [3]
Removed examples from short-time-memory: 3499	 True labels: [4]
Removed examples from short-time-memory: 3529	 True labels: [2]
Removed examples from short-time-memory: 3563	 True labels: [3]
Removed examples from short-time-memory: 3583	 True labels: [3]
Removed examples from short-time-memory: 3639	 True labels: [0, 2]
Removed examples from short-time-memory: 3657	 True labels: [3]
Removed examples from short-time-memory: 3690	 True labels: [2]
Removed examples from short-time-memory: 3701	 True labels: [2]
Removed examples from short-time-memory: 3740	 True labels: [0]
Removed examples from short-time-memory: 3745	 True labels: [3]
Removed examples from short-time-memory: 3757	 True labels: [3]
Removed examples from short-time-memory: 3780	 True labels: [0, 2]
Removed examples from short-time-memory: 3783	 True labels: [4]
Removed examples from short-time-memory: 3811	 True labels: [4]
Removed examples from short-time-memory: 3820	 True labels: [2]
Removed examples from short-time-memory: 3932	 True labels: [4]
Removed examples from short-time-memory: 3943	 True labels: [2]
Removed examples from short-time-memory: 3951	 True labels: [0]
Removed examples from short-time-memory: 3953	 True labels: [2]
Removed examples from short-time-memory: 3969	 True labels: [1, 2]
Removed examples from short-time-memory: 3972	 True labels: [2]
Timestamp: 6000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 6000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 6000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 6000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 6000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 4028	 True labels: [4]
Removed examples from short-time-memory: 4049	 True labels: [3]
Removed examples from short-time-memory: 4063	 True labels: [1]
Removed examples from short-time-memory: 4069	 True labels: [2]
Removed examples from short-time-memory: 4098	 True labels: [1]
Removed examples from short-time-memory: 4129	 True labels: [2]
Removed examples from short-time-memory: 4148	 True labels: [1]
Removed examples from short-time-memory: 4170	 True labels: [2]
Removed examples from short-time-memory: 4176	 True labels: [2]
Removed examples from short-time-memory: 4233	 True labels: [3]
Removed examples from short-time-memory: 4248	 True labels: [1]
Removed examples from short-time-memory: 4269	 True labels: [1]
Removed examples from short-time-memory: 4280	 True labels: [2]
Removed examples from short-time-memory: 4325	 True labels: [4]
Removed examples from short-time-memory: 4336	 True labels: [3]
Removed examples from short-time-memory: 4360	 True labels: [1]
Removed examples from short-time-memory: 4373	 True labels: [3]
Removed examples from short-time-memory: 4389	 True labels: [3]
Removed examples from short-time-memory: 4390	 True labels: [2]
Removed examples from short-time-memory: 4417	 True labels: [3]
Removed examples from short-time-memory: 4426	 True labels: [2]
Removed examples from short-time-memory: 4427	 True labels: [1, 2]
Removed examples from short-time-memory: 4455	 True labels: [2]
Removed examples from short-time-memory: 4464	 True labels: [0, 2]
Removed examples from short-time-memory: 4471	 True labels: [2]
Removed examples from short-time-memory: 4498	 True labels: [2]
Removed examples from short-time-memory: 4548	 True labels: [1, 2]
Removed examples from short-time-memory: 4563	 True labels: [3]
Removed examples from short-time-memory: 4579	 True labels: [1]
Removed examples from short-time-memory: 4608	 True labels: [2]
Removed examples from short-time-memory: 4666	 True labels: [2]
Removed examples from short-time-memory: 4673	 True labels: [1, 2]
Removed examples from short-time-memory: 4689	 True labels: [3]
Removed examples from short-time-memory: 4701	 True labels: [4]
Removed examples from short-time-memory: 4748	 True labels: [2]
Removed examples from short-time-memory: 4790	 True labels: [2]
Removed examples from short-time-memory: 4850	 True labels: [0, 2]
Removed examples from short-time-memory: 4863	 True labels: [2]
Removed examples from short-time-memory: 4874	 True labels: [0, 2]
Removed examples from short-time-memory: 4875	 True labels: [1]
Removed examples from short-time-memory: 4878	 True labels: [2]
Removed examples from short-time-memory: 4924	 True labels: [2]
Removed examples from short-time-memory: 5009	 True labels: [1, 2]
Removed examples from short-time-memory: 5014	 True labels: [3]
Removed examples from short-time-memory: 5039	 True labels: [1, 2]
Removed examples from short-time-memory: 5048	 True labels: [3]
Removed examples from short-time-memory: 5062	 True labels: [2]
Removed examples from short-time-memory: 5102	 True labels: [2]
Removed examples from short-time-memory: 5109	 True labels: [2]
Removed examples from short-time-memory: 5186	 True labels: [1]
Removed examples from short-time-memory: 5238	 True labels: [2]
Removed examples from short-time-memory: 5374	 True labels: [2]
Removed examples from short-time-memory: 5417	 True labels: [2]
Removed examples from short-time-memory: 5418	 True labels: [4]
Removed examples from short-time-memory: 5445	 True labels: [2]
Removed examples from short-time-memory: 5456	 True labels: [2]
Removed examples from short-time-memory: 5495	 True labels: [2]
Removed examples from short-time-memory: 5507	 True labels: [0]
Removed examples from short-time-memory: 5572	 True labels: [3]
Removed examples from short-time-memory: 5597	 True labels: [0]
Removed examples from short-time-memory: 5612	 True labels: [4]
Removed examples from short-time-memory: 5618	 True labels: [3]
Removed examples from short-time-memory: 5637	 True labels: [2]
Removed examples from short-time-memory: 5735	 True labels: [2]
Removed examples from short-time-memory: 5752	 True labels: [1]
Removed examples from short-time-memory: 5795	 True labels: [3]
Removed examples from short-time-memory: 5797	 True labels: [2]
Removed examples from short-time-memory: 5820	 True labels: [2]
Removed examples from short-time-memory: 5821	 True labels: [1, 2]
Removed examples from short-time-memory: 5903	 True labels: [0]
Removed examples from short-time-memory: 5912	 True labels: [2]
Removed examples from short-time-memory: 5913	 True labels: [2]
Removed examples from short-time-memory: 5928	 True labels: [2]
Removed examples from short-time-memory: 5956	 True labels: [1]
Removed examples from short-time-memory: 5983	 True labels: [1, 2]
Timestamp: 8000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 8000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 8000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 8000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 8000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 6011	 True labels: [2]
Removed examples from short-time-memory: 6059	 True labels: [3]
Removed examples from short-time-memory: 6102	 True labels: [4]
Removed examples from short-time-memory: 6106	 True labels: [4]
Removed examples from short-time-memory: 6135	 True labels: [2]
Removed examples from short-time-memory: 6162	 True labels: [0]
Removed examples from short-time-memory: 6164	 True labels: [3]
Removed examples from short-time-memory: 6184	 True labels: [4]
Removed examples from short-time-memory: 6188	 True labels: [3]
Removed examples from short-time-memory: 6189	 True labels: [3]
Removed examples from short-time-memory: 6190	 True labels: [3]
Removed examples from short-time-memory: 6208	 True labels: [0, 2]
Removed examples from short-time-memory: 6226	 True labels: [2]
Removed examples from short-time-memory: 6247	 True labels: [3]
Removed examples from short-time-memory: 6260	 True labels: [1]
Removed examples from short-time-memory: 6265	 True labels: [0]
Removed examples from short-time-memory: 6266	 True labels: [3]
Removed examples from short-time-memory: 6269	 True labels: [2]
Removed examples from short-time-memory: 6308	 True labels: [0, 2]
Removed examples from short-time-memory: 6343	 True labels: [3]
Removed examples from short-time-memory: 6351	 True labels: [4]
Removed examples from short-time-memory: 6371	 True labels: [3]
Removed examples from short-time-memory: 6386	 True labels: [0, 2]
Removed examples from short-time-memory: 6405	 True labels: [3]
Removed examples from short-time-memory: 6410	 True labels: [2]
Removed examples from short-time-memory: 6419	 True labels: [2]
Removed examples from short-time-memory: 6491	 True labels: [2]
Removed examples from short-time-memory: 6509	 True labels: [1, 2]
Removed examples from short-time-memory: 6522	 True labels: [2]
Removed examples from short-time-memory: 6536	 True labels: [2]
Removed examples from short-time-memory: 6564	 True labels: [2]
Removed examples from short-time-memory: 6644	 True labels: [2]
Removed examples from short-time-memory: 6668	 True labels: [3]
Removed examples from short-time-memory: 6670	 True labels: [4]
Removed examples from short-time-memory: 6678	 True labels: [1]
Removed examples from short-time-memory: 6693	 True labels: [4]
Removed examples from short-time-memory: 6704	 True labels: [2]
Removed examples from short-time-memory: 6804	 True labels: [2]
Removed examples from short-time-memory: 6821	 True labels: [2]
Removed examples from short-time-memory: 6863	 True labels: [4]
Removed examples from short-time-memory: 6864	 True labels: [2]
Removed examples from short-time-memory: 6942	 True labels: [2]
Removed examples from short-time-memory: 6991	 True labels: [1, 2]
Removed examples from short-time-memory: 7016	 True labels: [2]
Removed examples from short-time-memory: 7018	 True labels: [2]
Removed examples from short-time-memory: 7076	 True labels: [3]
Removed examples from short-time-memory: 7100	 True labels: [0, 2]
Removed examples from short-time-memory: 7103	 True labels: [1, 2]
Removed examples from short-time-memory: 7104	 True labels: [4]
Removed examples from short-time-memory: 7141	 True labels: [2]
Removed examples from short-time-memory: 7160	 True labels: [3]
Removed examples from short-time-memory: 7164	 True labels: [3]
Removed examples from short-time-memory: 7199	 True labels: [0, 2]
Removed examples from short-time-memory: 7221	 True labels: [0, 2]
Removed examples from short-time-memory: 7227	 True labels: [2]
Removed examples from short-time-memory: 7267	 True labels: [3]
Removed examples from short-time-memory: 7287	 True labels: [3]
Removed examples from short-time-memory: 7295	 True labels: [3]
Removed examples from short-time-memory: 7313	 True labels: [3]
Removed examples from short-time-memory: 7325	 True labels: [3]
Removed examples from short-time-memory: 7355	 True labels: [2]
Removed examples from short-time-memory: 7362	 True labels: [2]
Removed examples from short-time-memory: 7379	 True labels: [4]
Removed examples from short-time-memory: 7395	 True labels: [2]
Removed examples from short-time-memory: 7396	 True labels: [4]
Removed examples from short-time-memory: 7415	 True labels: [0]
Removed examples from short-time-memory: 7424	 True labels: [2]
Removed examples from short-time-memory: 7426	 True labels: [2]
Removed examples from short-time-memory: 7483	 True labels: [2]
Removed examples from short-time-memory: 7504	 True labels: [0, 2]
Removed examples from short-time-memory: 7540	 True labels: [3]
Removed examples from short-time-memory: 7546	 True labels: [2]
Removed examples from short-time-memory: 7562	 True labels: [3]
Removed examples from short-time-memory: 7568	 True labels: [3]
Removed examples from short-time-memory: 7655	 True labels: [2]
Removed examples from short-time-memory: 7686	 True labels: [3]
Removed examples from short-time-memory: 7735	 True labels: [1]
Removed examples from short-time-memory: 7755	 True labels: [1]
Removed examples from short-time-memory: 7781	 True labels: [4]
Removed examples from short-time-memory: 7831	 True labels: [2]
Removed examples from short-time-memory: 7876	 True labels: [2]
Removed examples from short-time-memory: 7878	 True labels: [1]
Removed examples from short-time-memory: 7879	 True labels: [3]
Removed examples from short-time-memory: 7881	 True labels: [2]
Removed examples from short-time-memory: 7895	 True labels: [3]
Removed examples from short-time-memory: 7929	 True labels: [2]
Removed examples from short-time-memory: 7942	 True labels: [4]
Removed examples from short-time-memory: 7944	 True labels: [1, 2]
Removed examples from short-time-memory: 7947	 True labels: [4]
Removed examples from short-time-memory: 7960	 True labels: [2]
Removed examples from short-time-memory: 7964	 True labels: [1, 2]
Timestamp: 10000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 10000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 10000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 10000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 10000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 8010	 True labels: [2]
Removed examples from short-time-memory: 8044	 True labels: [3]
Removed examples from short-time-memory: 8131	 True labels: [3]
Removed examples from short-time-memory: 8133	 True labels: [3]
Removed examples from short-time-memory: 8180	 True labels: [3]
Removed examples from short-time-memory: 8193	 True labels: [0, 2]
Removed examples from short-time-memory: 8213	 True labels: [4]
Removed examples from short-time-memory: 8255	 True labels: [2]
Removed examples from short-time-memory: 8267	 True labels: [1]
Removed examples from short-time-memory: 8311	 True labels: [2]
Removed examples from short-time-memory: 8348	 True labels: [4]
Removed examples from short-time-memory: 8376	 True labels: [1]
Removed examples from short-time-memory: 8383	 True labels: [0, 2]
Removed examples from short-time-memory: 8385	 True labels: [4]
Removed examples from short-time-memory: 8393	 True labels: [2]
Removed examples from short-time-memory: 8420	 True labels: [3]
Removed examples from short-time-memory: 8444	 True labels: [0]
Removed examples from short-time-memory: 8462	 True labels: [3]
Removed examples from short-time-memory: 8484	 True labels: [3]
Removed examples from short-time-memory: 8517	 True labels: [4]
Removed examples from short-time-memory: 8528	 True labels: [0, 2]
Removed examples from short-time-memory: 8554	 True labels: [2]
Removed examples from short-time-memory: 8594	 True labels: [3]
Removed examples from short-time-memory: 8605	 True labels: [1]
Removed examples from short-time-memory: 8613	 True labels: [1]
Removed examples from short-time-memory: 8628	 True labels: [2]
Removed examples from short-time-memory: 8642	 True labels: [1]
Removed examples from short-time-memory: 8656	 True labels: [4]
Removed examples from short-time-memory: 8670	 True labels: [1]
Removed examples from short-time-memory: 8684	 True labels: [1]
Removed examples from short-time-memory: 8700	 True labels: [2]
Removed examples from short-time-memory: 8701	 True labels: [2]
Removed examples from short-time-memory: 8716	 True labels: [2]
Removed examples from short-time-memory: 8737	 True labels: [2]
Removed examples from short-time-memory: 8805	 True labels: [2]
Removed examples from short-time-memory: 8815	 True labels: [1, 2]
Removed examples from short-time-memory: 8836	 True labels: [2]
Removed examples from short-time-memory: 8856	 True labels: [3]
Removed examples from short-time-memory: 8858	 True labels: [0, 2]
Removed examples from short-time-memory: 8859	 True labels: [2]
Removed examples from short-time-memory: 8876	 True labels: [0, 2]
Removed examples from short-time-memory: 8891	 True labels: [4]
Removed examples from short-time-memory: 8906	 True labels: [3]
Removed examples from short-time-memory: 8907	 True labels: [3]
Removed examples from short-time-memory: 8937	 True labels: [2]
Removed examples from short-time-memory: 8978	 True labels: [4]
Removed examples from short-time-memory: 8985	 True labels: [0, 2]
Removed examples from short-time-memory: 8988	 True labels: [1]
Removed examples from short-time-memory: 9004	 True labels: [4]
Removed examples from short-time-memory: 9006	 True labels: [1, 2]
Removed examples from short-time-memory: 9007	 True labels: [2]
Removed examples from short-time-memory: 9021	 True labels: [2]
Removed examples from short-time-memory: 9034	 True labels: [2]
Removed examples from short-time-memory: 9050	 True labels: [1, 2]
Removed examples from short-time-memory: 9058	 True labels: [4]
Removed examples from short-time-memory: 9061	 True labels: [2]
Removed examples from short-time-memory: 9066	 True labels: [1]
Removed examples from short-time-memory: 9080	 True labels: [1]
Removed examples from short-time-memory: 9082	 True labels: [4]
Removed examples from short-time-memory: 9113	 True labels: [4]
Removed examples from short-time-memory: 9116	 True labels: [1]
Removed examples from short-time-memory: 9121	 True labels: [4]
Removed examples from short-time-memory: 9136	 True labels: [2]
Removed examples from short-time-memory: 9221	 True labels: [2]
Removed examples from short-time-memory: 9234	 True labels: [2]
Removed examples from short-time-memory: 9290	 True labels: [2]
Removed examples from short-time-memory: 9313	 True labels: [2]
Removed examples from short-time-memory: 9328	 True labels: [3]
Removed examples from short-time-memory: 9332	 True labels: [0, 2]
Removed examples from short-time-memory: 9336	 True labels: [0, 2]
Removed examples from short-time-memory: 9338	 True labels: [2]
Removed examples from short-time-memory: 9343	 True labels: [3]
Removed examples from short-time-memory: 9356	 True labels: [2]
Removed examples from short-time-memory: 9397	 True labels: [1, 2]
Removed examples from short-time-memory: 9424	 True labels: [2]
Removed examples from short-time-memory: 9437	 True labels: [2]
Removed examples from short-time-memory: 9461	 True labels: [2]
Removed examples from short-time-memory: 9465	 True labels: [2]
Removed examples from short-time-memory: 9477	 True labels: [1]
Removed examples from short-time-memory: 9517	 True labels: [2]
Removed examples from short-time-memory: 9540	 True labels: [2]
Removed examples from short-time-memory: 9543	 True labels: [4]
Removed examples from short-time-memory: 9557	 True labels: [0, 2]
Removed examples from short-time-memory: 9565	 True labels: [1]
Removed examples from short-time-memory: 9566	 True labels: [0, 2]
Removed examples from short-time-memory: 9600	 True labels: [2]
Removed examples from short-time-memory: 9608	 True labels: [0, 2]
Removed examples from short-time-memory: 9643	 True labels: [3]
Removed examples from short-time-memory: 9657	 True labels: [3]
Removed examples from short-time-memory: 9690	 True labels: [2]
Removed examples from short-time-memory: 9730	 True labels: [2]
Removed examples from short-time-memory: 9780	 True labels: [3]
Removed examples from short-time-memory: 9785	 True labels: [4]
Removed examples from short-time-memory: 9793	 True labels: [3]
Removed examples from short-time-memory: 9837	 True labels: [0, 2]
Removed examples from short-time-memory: 9839	 True labels: [2]
Removed examples from short-time-memory: 9858	 True labels: [0, 2]
Removed examples from short-time-memory: 9862	 True labels: [4]
Removed examples from short-time-memory: 9887	 True labels: [0, 2]
Removed examples from short-time-memory: 9956	 True labels: [2]
Removed examples from short-time-memory: 9960	 True labels: [2]
Removed examples from short-time-memory: 9973	 True labels: [0, 2]
Removed examples from short-time-memory: 9999	 True labels: [4]
Timestamp: 12000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 12000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 12000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 12000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 12000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 10065	 True labels: [1]
Removed examples from short-time-memory: 10126	 True labels: [2]
Removed examples from short-time-memory: 10135	 True labels: [3]
Removed examples from short-time-memory: 10139	 True labels: [3]
Removed examples from short-time-memory: 10144	 True labels: [3]
Removed examples from short-time-memory: 10155	 True labels: [2]
Removed examples from short-time-memory: 10178	 True labels: [2]
Removed examples from short-time-memory: 10197	 True labels: [1]
Removed examples from short-time-memory: 10201	 True labels: [4]
Removed examples from short-time-memory: 10206	 True labels: [3]
Removed examples from short-time-memory: 10210	 True labels: [0, 2]
Removed examples from short-time-memory: 10227	 True labels: [3]
Removed examples from short-time-memory: 10240	 True labels: [4]
Removed examples from short-time-memory: 10242	 True labels: [0, 2]
Removed examples from short-time-memory: 10257	 True labels: [0, 2]
Removed examples from short-time-memory: 10261	 True labels: [1, 2]
Removed examples from short-time-memory: 10262	 True labels: [2]
Removed examples from short-time-memory: 10313	 True labels: [4]
Removed examples from short-time-memory: 10323	 True labels: [3]
Removed examples from short-time-memory: 10327	 True labels: [4]
Removed examples from short-time-memory: 10338	 True labels: [0, 2]
Removed examples from short-time-memory: 10339	 True labels: [1]
Removed examples from short-time-memory: 10391	 True labels: [0, 2]
Removed examples from short-time-memory: 10410	 True labels: [2]
Removed examples from short-time-memory: 10424	 True labels: [2]
Removed examples from short-time-memory: 10439	 True labels: [0, 2]
Removed examples from short-time-memory: 10462	 True labels: [2]
Removed examples from short-time-memory: 10493	 True labels: [1]
Removed examples from short-time-memory: 10495	 True labels: [4]
Removed examples from short-time-memory: 10497	 True labels: [4]
Removed examples from short-time-memory: 10521	 True labels: [4]
Removed examples from short-time-memory: 10527	 True labels: [2]
Removed examples from short-time-memory: 10531	 True labels: [1, 2]
Removed examples from short-time-memory: 10545	 True labels: [1]
Removed examples from short-time-memory: 10575	 True labels: [2]
Removed examples from short-time-memory: 10578	 True labels: [1]
Removed examples from short-time-memory: 10590	 True labels: [0]
Removed examples from short-time-memory: 10591	 True labels: [4]
Removed examples from short-time-memory: 10605	 True labels: [0, 2]
Removed examples from short-time-memory: 10618	 True labels: [3]
Removed examples from short-time-memory: 10667	 True labels: [2]
Removed examples from short-time-memory: 10686	 True labels: [1]
Removed examples from short-time-memory: 10687	 True labels: [0, 2]
Removed examples from short-time-memory: 10695	 True labels: [3]
Removed examples from short-time-memory: 10698	 True labels: [1, 2]
Removed examples from short-time-memory: 10700	 True labels: [2]
Removed examples from short-time-memory: 10705	 True labels: [2]
Removed examples from short-time-memory: 10710	 True labels: [4]
Removed examples from short-time-memory: 10741	 True labels: [2]
Removed examples from short-time-memory: 10749	 True labels: [2]
Removed examples from short-time-memory: 10757	 True labels: [1]
Removed examples from short-time-memory: 10769	 True labels: [3]
Removed examples from short-time-memory: 10799	 True labels: [2]
Removed examples from short-time-memory: 10803	 True labels: [3]
Removed examples from short-time-memory: 10823	 True labels: [2]
Removed examples from short-time-memory: 10849	 True labels: [4]
Removed examples from short-time-memory: 10898	 True labels: [2]
Removed examples from short-time-memory: 10905	 True labels: [4]
Removed examples from short-time-memory: 10906	 True labels: [0, 2]
Removed examples from short-time-memory: 10917	 True labels: [2]
Removed examples from short-time-memory: 10929	 True labels: [4]
Removed examples from short-time-memory: 10933	 True labels: [2]
Removed examples from short-time-memory: 10934	 True labels: [3]
Removed examples from short-time-memory: 10954	 True labels: [4]
Removed examples from short-time-memory: 10957	 True labels: [3]
Removed examples from short-time-memory: 10958	 True labels: [2]
Removed examples from short-time-memory: 10963	 True labels: [1]
Removed examples from short-time-memory: 10975	 True labels: [2]
Removed examples from short-time-memory: 10991	 True labels: [0]
Removed examples from short-time-memory: 10992	 True labels: [2]
Removed examples from short-time-memory: 11049	 True labels: [3]
Removed examples from short-time-memory: 11094	 True labels: [0, 2]
Removed examples from short-time-memory: 11102	 True labels: [0, 2]
Removed examples from short-time-memory: 11111	 True labels: [3]
Removed examples from short-time-memory: 11116	 True labels: [3]
Removed examples from short-time-memory: 11121	 True labels: [2]
Removed examples from short-time-memory: 11141	 True labels: [4]
Removed examples from short-time-memory: 11149	 True labels: [2]
Removed examples from short-time-memory: 11166	 True labels: [2]
Removed examples from short-time-memory: 11231	 True labels: [2]
Removed examples from short-time-memory: 11236	 True labels: [0]
Removed examples from short-time-memory: 11251	 True labels: [2]
Removed examples from short-time-memory: 11278	 True labels: [3]
Removed examples from short-time-memory: 11280	 True labels: [1]
Removed examples from short-time-memory: 11302	 True labels: [4]
Removed examples from short-time-memory: 11315	 True labels: [0, 2]
Removed examples from short-time-memory: 11324	 True labels: [2]
Removed examples from short-time-memory: 11336	 True labels: [1]
Removed examples from short-time-memory: 11357	 True labels: [3]
Removed examples from short-time-memory: 11372	 True labels: [1]
Removed examples from short-time-memory: 11373	 True labels: [3]
Removed examples from short-time-memory: 11414	 True labels: [1]
Removed examples from short-time-memory: 11421	 True labels: [4]
Removed examples from short-time-memory: 11423	 True labels: [3]
Removed examples from short-time-memory: 11452	 True labels: [0, 2]
Removed examples from short-time-memory: 11454	 True labels: [2]
Removed examples from short-time-memory: 11487	 True labels: [2]
Removed examples from short-time-memory: 11508	 True labels: [2]
Removed examples from short-time-memory: 11534	 True labels: [2]
Removed examples from short-time-memory: 11558	 True labels: [1, 2]
Removed examples from short-time-memory: 11567	 True labels: [0, 2]
Removed examples from short-time-memory: 11617	 True labels: [4]
Removed examples from short-time-memory: 11636	 True labels: [2]
Removed examples from short-time-memory: 11649	 True labels: [1]
Removed examples from short-time-memory: 11681	 True labels: [0, 2]
Removed examples from short-time-memory: 11684	 True labels: [2]
Removed examples from short-time-memory: 11737	 True labels: [3]
Removed examples from short-time-memory: 11746	 True labels: [0, 2]
Removed examples from short-time-memory: 11749	 True labels: [4]
Removed examples from short-time-memory: 11766	 True labels: [2]
Removed examples from short-time-memory: 11790	 True labels: [1]
Removed examples from short-time-memory: 11808	 True labels: [4]
